"","Pin25307","Pin25708","Pin25825","Pin27584","Pin35790","Pin35791"
"Candidatus Endolissoclinum faulkneri",0,0,0,0,22,0
"Defluviicoccus vanus",416,342,429,450,498,1224
"Ferrovibrio terrae",492,433,446,439,514,654
"Haematospirillum jordaniae",39,0,33,0,30,43
"Hypericibacter adhaerens",1293,1169,1100,1316,1481,1768
"Hypericibacter terrae",1091,1104,784,1123,1333,1429
"Magnetospirillum gryphiswaldense",311,288,317,298,376,408
"Magnetospirillum magneticum",259,288,290,266,279,385
"Magnetospirillum sp. ME-1",294,258,231,286,317,419
"Magnetospirillum sp. XM-1",297,284,322,322,322,395
"Pararhodospirillum photometricum",187,167,215,193,219,248
"Rhodospirillum centenum",516,455,562,460,474,673
"Rhodospirillum rubrum",276,289,295,308,319,374
"Tistrella mobilis",795,887,926,940,1049,1194
"Stella humosa",1188,1019,1135,1057,1137,1526
"Magnetospira sp. QH-2",100,109,108,106,91,148
"Thalassospira indica",44,84,69,57,81,54
"Thalassospira marina",44,37,53,43,73,66
"Thalassospira sp. A40-3",44,44,46,56,71,31
"Thalassospira sp. B30-1",57,0,0,0,56,0
"Thalassospira xiamenensis",0,0,62,62,0,65
"Altererythrobacter epoxidivorans",101,69,92,95,101,132
"Altererythrobacter ishigakiensis",28,40,41,29,24,49
"Altererythrobacter sp. B11",273,209,403,198,168,353
"Altererythrobacter sp. BO-6",98,98,93,75,75,109
"Altererythrobacter sp. TH136",191,128,202,121,120,208
"Altererythrobacter sp. ZODW24",43,31,46,44,38,57
"Aurantiacibacter atlanticus",60,67,74,58,64,90
"Aurantiacibacter gangjinensis",94,50,75,71,50,102
"Croceibacterium atlanticum",143,104,198,127,101,198
"Croceicoccus marinus",350,368,341,356,334,448
"Croceicoccus naphthovorans",299,193,295,286,246,419
"Croceicoccus sp. Ery15",108,92,79,96,88,120
"Croceicoccus sp. Ery5",97,103,102,100,92,145
"Croceicoccus sp. YJ47",189,176,260,235,207,288
"Erythrobacter aureus",90,71,78,74,88,101
"Erythrobacter litoralis",293,295,403,245,290,421
"Erythrobacter mangrovi",126,94,152,115,99,184
"Erythrobacter neustonensis",127,126,150,103,88,137
"Erythrobacter sp. 3-20A1M",169,148,196,133,115,223
"Erythrobacter sp. A30-3",133,95,152,111,87,147
"Erythrobacter sp. HKB08",147,113,173,123,112,196
"Erythrobacter sp. HL-111",177,188,297,120,135,248
"Erythrobacter sp. JK5",160,146,174,111,119,201
"Erythrobacter sp. KY5",68,62,64,63,69,91
"Erythrobacter sp. LQ02-29",123,97,132,95,94,137
"Erythrobacter sp. SCSIO 43205",62,54,66,50,59,56
"Erythrobacter sp. SDW2",155,131,201,112,91,197
"Erythrobacter sp. THAF29",105,83,119,81,75,137
"Paraurantiacibacter namhicola",99,87,129,80,69,115
"Pelagerythrobacter marensis",142,86,145,85,76,171
"Porphyrobacter sp. CACIAM 03H1",195,149,252,131,163,269
"Porphyrobacter sp. GA68",107,83,168,116,85,138
"Porphyrobacter sp. HT-58-2",135,87,127,100,105,153
"Porphyrobacter sp. LM 6",169,134,213,122,134,153
"Qipengyuania flava",442,379,525,363,353,519
"Qipengyuania sediminis",160,164,209,120,124,212
"Qipengyuania seohaensis",95,64,95,62,59,106
"Qipengyuania soli",141,92,146,91,100,179
"Qipengyuania sp. 1NDH1",74,87,128,54,56,114
"Qipengyuania sp. 1NDH13",109,93,130,87,99,148
"Qipengyuania sp. 1NDW3",114,73,117,83,68,140
"Qipengyuania sp. 1XM2-8",56,51,67,52,64,68
"Tsuneonella amylolytica",239,197,221,160,181,272
"Tsuneonella dongtanensis",208,153,272,142,138,258
"Tsuneonella flava",72,65,98,69,98,97
"Tsuneonella mangrovi",156,108,232,118,117,189
"Allosphingosinicella indica",406,407,369,236,214,452
"Aquisediminimonas profunda",96,63,72,88,80,111
"Blastomonas fulva",147,149,212,171,130,218
"Blastomonas sp. RAC04",140,110,120,96,104,209
"Citromicrobium sp. JL477",160,186,223,147,158,189
"Hankyongella ginsenosidimutans",259,247,282,210,276,313
"Novosphingobium aromaticivorans",360,294,361,243,221,335
"Novosphingobium decolorationis",399,216,448,230,223,413
"Novosphingobium ginsenosidimutans",246,138,223,137,168,211
"Novosphingobium pentaromativorans",262,215,395,199,256,266
"Novosphingobium resinovorum",593,395,542,363,402,678
"Novosphingobium sp. EMRT-2",539,338,605,385,285,580
"Novosphingobium sp. ES2-1",283,203,316,163,246,260
"Novosphingobium sp. Gsoil 351",510,236,426,233,231,453
"Novosphingobium sp. KA1",311,190,266,201,293,259
"Novosphingobium sp. P6W",349,196,296,175,209,316
"Novosphingobium sp. PP1Y",207,126,248,146,129,278
"Novosphingobium sp. Sx8-5",300,201,356,200,202,265
"Novosphingobium sp. THN1",216,189,267,122,148,247
"Novosphingopyxis iocasae",209,182,200,124,146,249
"Parasphingopyxis algicola",212,217,224,177,169,253
"Parasphingopyxis sp. CP4",77,57,53,50,74,79
"Parasphingorhabdus halotolerans",41,32,40,44,47,53
"Parasphingorhabdus litoris",28,22,36,24,33,23
"Parasphingorhabdus sp. JHSY0214",52,27,35,32,37,33
"Rhizorhabdus dicambivorans",995,606,952,643,566,1089
"Rhizorhabdus sp. MK52",247,250,309,229,261,386
"Rhizorhabdus wittichii",941,863,1001,594,703,1092
"Sphingobium amiense",499,540,474,362,319,600
"Sphingobium baderi",395,273,353,275,311,469
"Sphingobium chlorophenolicum",220,162,258,140,122,207
"Sphingobium cloacae",623,439,613,424,427,649
"Sphingobium fuliginis",207,199,291,215,210,313
"Sphingobium herbicidovorans",269,148,240,192,164,297
"Sphingobium indicum",276,276,361,256,249,305
"Sphingobium phenoxybenzoativorans",296,225,288,236,202,381
"Sphingobium sp. Cam5-1",208,191,191,187,200,261
"Sphingobium sp. CAP-1",250,223,244,212,197,376
"Sphingobium sp. EP60837",245,161,188,184,193,291
"Sphingobium sp. KCTC 72723",158,98,147,87,140,170
"Sphingobium sp. MI1205",501,420,513,450,380,508
"Sphingobium sp. PAMC28499",127,123,122,101,65,137
"Sphingobium sp. RAC03",187,94,150,108,121,207
"Sphingobium sp. SCG-1",152,113,135,121,119,165
"Sphingobium sp. SYK-6",358,269,386,250,271,427
"Sphingobium sp. TKS",773,498,657,712,507,770
"Sphingobium sp. YG1",249,154,260,165,196,254
"Sphingobium xenophagum",256,184,226,196,215,288
"Sphingobium yanoikuyae",1008,642,897,676,663,1046
"Sphingomonas aliaeris",257,201,342,184,223,321
"Sphingomonas alpina",569,433,649,462,602,714
"Sphingomonas changnyeongensis",322,256,309,180,208,330
"Sphingomonas daechungensis",375,681,224,339,246,569
"Sphingomonas ginsengisoli An et al. 2013",563,470,338,371,309,759
"Sphingomonas hengshuiensis",336,310,394,263,276,396
"Sphingomonas insulae",238,184,219,176,175,266
"Sphingomonas koreensis",660,559,619,483,468,759
"Sphingomonas lacunae",107,95,107,98,90,166
"Sphingomonas lutea",516,637,267,457,366,755
"Sphingomonas melonis",502,394,405,356,374,561
"Sphingomonas paeninsulae",126,108,96,140,107,146
"Sphingomonas panacis",429,296,384,310,585,500
"Sphingomonas panacisoli",404,270,332,238,281,388
"Sphingomonas paucimobilis",312,262,331,274,269,406
"Sphingomonas piscis",330,311,207,246,217,417
"Sphingomonas profundi",545,450,504,378,377,538
"Sphingomonas rhizophila",611,391,288,398,196,1017
"Sphingomonas sabuli",446,407,306,346,247,538
"Sphingomonas sanguinis",219,171,204,176,175,298
"Sphingomonas sanxanigenens",756,714,769,555,580,997
"Sphingomonas sediminicola",425,781,231,621,304,532
"Sphingomonas sinipercae",402,429,237,288,244,549
"Sphingomonas sp. AAP5",434,362,460,316,433,616
"Sphingomonas sp. AK-PDB1-5",375,354,402,308,332,432
"Sphingomonas sp. AP4-R1",336,308,381,256,287,412
"Sphingomonas sp. CL5.1",426,398,494,343,410,518
"Sphingomonas sp. Cra20",433,287,523,232,268,480
"Sphingomonas sp. DM2-R-LB4",626,561,636,441,448,723
"Sphingomonas sp. FARSPH",486,507,471,386,509,604
"Sphingomonas sp. HDW15A",306,284,203,281,183,556
"Sphingomonas sp. HMP6",212,241,272,177,239,283
"Sphingomonas sp. HMP9",383,310,489,267,445,642
"Sphingomonas sp. IC081",263,249,399,253,228,312
"Sphingomonas sp. JE1",0,21,27,23,21,29
"Sphingomonas sp. KC8",220,193,246,185,176,304
"Sphingomonas sp. LK11",219,181,189,160,173,252
"Sphingomonas sp. LM7",450,332,624,267,255,396
"Sphingomonas sp. MM-1",1081,823,1105,891,740,1242
"Sphingomonas sp. NBWT7",414,301,373,301,283,434
"Sphingomonas sp. NIC1",493,410,435,285,299,605
"Sphingomonas sp. PAMC26645",392,253,754,318,551,672
"Sphingomonas sp. S2-65",321,253,379,222,255,340
"Sphingomonas sp. S9-5",290,189,238,192,184,296
"Sphingomonas suaedae",217,228,280,159,141,282
"Sphingomonas taxi",324,317,383,247,239,343
"Sphingomonas xanthus",512,365,185,361,166,1075
"Sphingopyxis alaskensis",172,122,180,116,115,330
"Sphingopyxis fribergensis",314,207,442,145,184,1517
"Sphingopyxis granuli",572,504,517,497,409,714
"Sphingopyxis lindanitolerans",302,197,344,177,216,563
"Sphingopyxis macrogoltabida",605,455,758,522,426,1193
"Sphingopyxis sp. 113P3",295,268,362,210,230,498
"Sphingopyxis sp. BSN-002",189,141,233,117,149,439
"Sphingopyxis sp. EG6",245,218,472,180,167,897
"Sphingopyxis sp. FD7",235,158,268,141,162,496
"Sphingopyxis sp. MG",0,0,274,0,179,211
"Sphingopyxis sp. OPL5",300,166,409,162,173,641
"Sphingopyxis sp. PAMC25046",253,221,371,199,146,761
"Sphingopyxis sp. QXT-31",270,261,375,180,172,657
"Sphingopyxis terrae",419,245,487,286,266,586
"Sphingorhabdus lacus",99,54,66,50,45,125
"Sphingorhabdus sp. M41",63,74,67,81,74,78
"Sphingorhabdus sp. SMR4y",104,75,93,64,78,90
"Sphingorhabdus sp. YGSMI21",103,89,133,85,71,177
"Sphingosinithalassobacter sp. CS137",294,224,276,213,189,290
"Sphingosinithalassobacter tenebrarum",276,222,271,163,211,266
"Tardibacter chloracetimidivorans",340,365,351,322,285,439
"Polymorphobacter sp. PAMC 29334",219,257,215,194,218,290
"Polymorphobacter sp. PAMC 29362",240,238,255,216,248,314
"Sandaracinobacter sp. M6",202,186,189,146,170,238
"Sphingosinicella flava",186,171,181,158,117,214
"Sphingosinicella microcystinivorans",232,220,223,179,176,258
"Sphingosinicella sp. BN140058",375,478,451,294,272,490
"Zymomonas mobilis",0,0,0,0,0,56
"Achromobacter deleyi",694,445,599,495,565,773
"Achromobacter denitrificans",900,702,768,519,799,1146
"Achromobacter insolitus",390,281,322,262,277,424
"Achromobacter mucicolens",203,105,158,79,191,201
"Achromobacter pestifer",441,317,419,380,327,623
"Achromobacter sp. 77",155,153,187,171,167,282
"Achromobacter sp. AONIH1",948,874,987,766,827,1236
"Achromobacter sp. B7",162,78,103,71,119,133
"Achromobacter sp. ES-001",219,154,201,187,147,233
"Achromobacter sp. MFA1 R4",328,254,318,210,295,381
"Achromobacter spanius",992,653,892,651,738,1037
"Achromobacter xylosoxidans",2720,1998,2879,2459,2361,3384
"Advenella kashmirensis",59,24,50,46,40,68
"Advenella mimigardefordensis",60,44,39,31,39,68
"Alcaligenes faecalis",263,165,304,188,217,299
"Alcaligenes sp. SORT26",0,0,0,40,34,33
"Bordetella avium",128,93,105,81,101,173
"Bordetella bronchialis",391,334,415,342,447,539
"Bordetella bronchiseptica",944,719,886,300,756,1150
"Bordetella flabilis",375,273,327,255,303,447
"Bordetella genomosp. 13",675,562,734,555,767,1083
"Bordetella genomosp. 6",178,187,139,106,228,229
"Bordetella genomosp. 8",381,315,377,298,378,450
"Bordetella genomosp. 9",458,342,410,312,383,599
"Bordetella hinzii",365,283,424,293,333,500
"Bordetella holmesii",173,96,142,117,119,220
"Bordetella pertussis",358,0,385,3577,243,512
"Bordetella petrii",897,697,847,680,895,1272
"Bordetella pseudohinzii",195,209,191,180,236,265
"Bordetella sp. H567",369,313,311,239,343,501
"Bordetella sp. N",334,241,285,234,313,485
"Bordetella trematum",292,247,372,267,330,426
"Castellaniella defragrans",728,502,649,467,532,866
"Kerstersia gyiorum",131,104,111,95,150,185
"Orrella dioscoreae",413,285,434,237,314,483
"Orrella marina",80,55,81,59,93,99
"Paralcaligenes sp. KSB-10",137,97,95,101,119,168
"Pigmentiphaga aceris",200,129,209,143,172,275
"Pigmentiphaga sp. H8",633,465,612,412,515,817
"Pusillimonas (ex Stolz et al. 2005) Pusillimonas sp. DMV24BSW_D",33,0,50,27,33,41
"Pusillimonas (ex Stolz et al. 2005) Pusillimonas sp. T7-7",89,51,112,63,75,92
"Pusillimonas (ex Stolz et al. 2005) Pusillimonas thiosulfatoxidans",173,87,168,94,107,254
"Aquabacterium olei",658,339,694,331,400,830
"Burkholderia aenigmatica",0,137,145,156,129,141
"Burkholderia ambifaria",527,455,466,530,551,720
"Burkholderia anthina",473,382,477,484,434,615
"Burkholderia cenocepacia",2693,2531,2439,2294,2490,3698
"Burkholderia cepacia",876,716,779,750,3514,2582
"Burkholderia contaminans",461,368,434,434,488,755
"Burkholderia diffusa",99,119,132,120,139,190
"Burkholderia dolosa",270,236,274,225,263,389
"Burkholderia gladioli",880,757,881,712,905,1160
"Burkholderia glumae",371,257,4434,342,418,532
"Burkholderia lata",458,405,461,395,364,623
"Burkholderia latens",186,169,141,152,166,149
"Burkholderia mallei",0,0,0,0,0,1871
"Burkholderia mayonis",290,229,286,272,311,439
"Burkholderia metallica",165,128,121,111,123,188
"Burkholderia multivorans",963,802,903,850,956,1278
"Burkholderia oklahomensis",209,171,214,202,261,243
"Burkholderia plantarii",436,378,496,380,437,581
"Burkholderia pseudomallei",2354,1411,2929,1379,2195,1437
"Burkholderia pseudomultivorans",150,111,139,138,97,213
"Burkholderia pyrrocinia",379,298,364,380,373,490
"Burkholderia savannae",91,84,98,94,112,107
"Burkholderia seminalis",157,152,181,183,201,230
"Burkholderia sp. Bp7605",313,266,332,231,308,408
"Burkholderia sp. DHOD12",513,427,479,426,575,675
"Burkholderia sp. IDO3",177,134,74,0,135,168
"Burkholderia sp. JP2-270",97,130,155,117,104,226
"Burkholderia sp. KBS0801",0,0,0,0,0,113
"Burkholderia sp. LA-2-3-30-S1-D2",100,111,132,147,146,163
"Burkholderia sp. MBR-1",0,0,0,0,0,208
"Burkholderia sp. MS455",116,53,120,104,98,131
"Burkholderia sp. MSMB0856",143,86,103,120,141,161
"Burkholderia sp. MSMB1588",0,0,0,0,0,109
"Burkholderia sp. NRF60-BP8",133,109,139,127,113,159
"Burkholderia sp. PAMC 26561",194,169,141,187,188,249
"Burkholderia sp. PAMC 28687",260,109,155,154,209,215
"Burkholderia stabilis",470,369,362,353,364,519
"Burkholderia stagnalis",334,294,342,319,322,409
"Burkholderia territorii",224,212,224,231,269,363
"Burkholderia thailandensis",422,449,405,765,276,411
"Burkholderia ubonensis",1036,933,1086,880,1012,1362
"Burkholderia vietnamiensis",594,505,509,532,541,755
"Caballeronia insecticola",451,361,388,328,418,536
"Caballeronia sp. M1242",431,496,343,549,393,477
"Caballeronia sp. SBC2",274,0,238,0,325,365
"Chitinimonas arctica",216,132,228,154,207,261
"Cupriavidus basilensis",1455,1040,1452,1275,1393,2107
"Cupriavidus campinensis",773,551,799,618,564,983
"Cupriavidus gilardii",724,540,883,585,658,1152
"Cupriavidus malaysiensis",152,0,306,0,0,260
"Cupriavidus metallidurans",1164,843,1033,1008,1050,1528
"Cupriavidus nantongensis",567,397,553,347,569,741
"Cupriavidus necator",1650,973,1254,1048,1366,1703
"Cupriavidus neocaledonicus",246,211,295,222,240,367
"Cupriavidus oxalaticus",1159,927,1376,955,1007,1657
"Cupriavidus pauculus",2516,1879,2634,1935,2471,3509
"Cupriavidus pinatubonensis",2588,836,400,328,366,1210
"Cupriavidus sp. EM10",534,357,530,351,456,711
"Cupriavidus sp. ISTL7",384,188,346,270,194,562
"Cupriavidus sp. KK10",279,264,313,418,392,411
"Cupriavidus sp. MP-37",225,196,263,207,175,293
"Cupriavidus sp. USMAA2-4",202,227,0,0,303,360
"Cupriavidus sp. USMAHM13",163,0,172,0,255,237
"Cupriavidus taiwanensis",2533,1870,2699,1822,2172,3312
"Ephemeroptericola cinctiostellae",24,0,22,23,25,42
"Ideonella dechloratans",1561,699,1594,812,1092,1917
"Inhella inkyongensis",354,225,487,221,243,548
"Lautropia mirabilis",309,187,316,160,214,401
"Leptothrix cholodnii",1978,877,2235,941,1337,2746
"Limnobacter sp. SAORIC-580",46,0,45,31,43,75
"Methylibium petroleiphilum",1510,749,1677,719,885,1928
"Methylibium sp. Pch-M",1503,718,1719,784,973,1907
"Mitsuaria sp. 7",1260,679,1239,640,945,1342
"Mycetohabitans rhizoxinica",209,118,210,161,139,287
"Mycoavidus cysteinexigens",31,0,37,0,22,38
"Mycoavidus sp. HKI",110,34,60,39,101,69
"Pandoraea apista",311,236,360,266,341,451
"Pandoraea faecigallinarum",236,192,293,165,246,357
"Pandoraea fibrosis",238,180,215,173,219,282
"Pandoraea norimbergensis",241,164,230,171,231,341
"Pandoraea oxalativorans",218,156,178,190,257,293
"Pandoraea pnomenusa",759,456,861,572,658,874
"Pandoraea pulmonicola",346,249,331,243,313,477
"Pandoraea sp. XY-2",349,250,312,266,378,451
"Pandoraea sputorum",176,136,152,166,165,231
"Pandoraea thiooxydans",340,232,326,262,354,432
"Pandoraea vervacti",265,183,274,212,221,380
"Paraburkholderia acidiphila",403,280,390,288,372,548
"Paraburkholderia acidisoli",385,368,439,296,407,510
"Paraburkholderia aromaticivorans",770,650,759,975,982,1053
"Paraburkholderia atlantica",378,328,384,337,391,518
"Paraburkholderia caffeinilytica",247,206,224,249,336,352
"Paraburkholderia caledonica",293,275,293,265,319,429
"Paraburkholderia caribensis",559,439,518,529,607,738
"Paraburkholderia dioscoreae",233,150,209,176,206,297
"Paraburkholderia dokdonella",253,144,241,203,221,312
"Paraburkholderia edwinii",360,284,421,299,389,502
"Paraburkholderia fungorum",361,253,269,313,367,481
"Paraburkholderia ginsengisoli",324,266,319,338,397,566
"Paraburkholderia graminis",362,235,330,302,386,444
"Paraburkholderia hospita",548,808,435,514,4121,731
"Paraburkholderia megapolitana",313,254,278,233,297,380
"Paraburkholderia pallida",543,371,502,437,563,716
"Paraburkholderia phenoliruptrix",393,261,320,245,339,510
"Paraburkholderia phymatum",360,309,320,307,372,528
"Paraburkholderia phytofirmans",529,451,540,622,851,777
"Paraburkholderia sp. PGU16",256,249,257,241,309,351
"Paraburkholderia sp. PGU19",283,188,275,288,377,372
"Paraburkholderia sp. SOS3",382,354,403,332,409,556
"Paraburkholderia sprentiae",309,279,301,277,342,474
"Paraburkholderia terrae",463,333,466,447,481,695
"Paraburkholderia terricola",317,251,285,291,377,483
"Paraburkholderia tropica",430,360,320,331,434,545
"Paraburkholderia xenovorans",441,405,424,479,587,707
"Paucibacter sp. KCTC 42545",503,187,473,237,282,575
"Polynucleobacter asymbioticus",0,0,0,0,0,50
"Polynucleobacter difficilis",39,0,0,0,0,41
"Polynucleobacter necessarius",65,60,78,56,63,63
"Polynucleobacter sp. MWH-UH24A",0,0,0,0,67,0
"Ralstonia insidiosa",645,385,569,443,579,782
"Ralstonia mannitolilytica",441,386,465,381,451,717
"Ralstonia pickettii",370,223,330,289,341,542
"Ralstonia solanacearum",9799,3939,2373,1819,2185,3125
"Ralstonia sp. 56D2",188,124,203,132,166,244
"Ralstonia syzygii",0,0,0,0,0,115
"Rhizobacter gummiphilus",2979,1148,2569,1195,1657,2877
"Rhizobacter sp. AJA081-3",4474,1849,4913,2089,2835,5838
"Roseateles depolymerans",632,325,582,281,372,678
"Rubrivivax gelatinosus",2861,1318,3828,1439,1882,3680
"Sphaerotilus natans",1230,636,1549,692,934,1662
"Tepidimonas taiwanensis",660,377,661,388,461,857
"Thiomonas arsenitoxydans",187,137,250,111,194,280
"Thiomonas intermedia",365,178,359,181,313,372
"Thiomonas sp. X19",588,363,660,367,480,807
"Xylophilus rhododendri",690,396,688,465,485,863
"Acidovorax antarcticus",1094,585,1031,516,633,1310
"Acidovorax avenae",1297,688,1325,741,931,1751
"Acidovorax carolinensis",983,400,1015,526,667,1266
"Acidovorax cattleyae",387,165,344,217,252,435
"Acidovorax citrulli",476,211,437,266,312,579
"Acidovorax monticola",682,331,715,353,445,970
"Acidovorax radicis",308,177,321,141,207,400
"Acidovorax sp. 1608163",314,129,258,177,183,431
"Acidovorax sp. HDW3",545,358,526,311,423,779
"Acidovorax sp. JMULE5",490,184,434,192,251,667
"Acidovorax sp. KKS102",701,264,644,275,363,977
"Acidovorax sp. RAC01",809,355,841,436,422,1007
"Acidovorax sp. T1",2167,738,1717,945,1317,2387
"Acidovorax sp. YS12",709,403,873,449,606,1106
"Alicycliphilus denitrificans",2547,1536,2618,1905,2003,3233
"Candidatus Symbiobacter mobilis",116,84,111,67,112,162
"Comamonas aquatica",1168,570,1144,579,730,1428
"Comamonas kerstersii",174,93,163,105,152,252
"Comamonas koreensis",279,138,267,144,198,339
"Comamonas odontotermitis",222,120,184,123,189,266
"Comamonas piscis",160,95,190,96,122,241
"Comamonas serinivorans",521,301,557,269,356,718
